                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3428,                 3.8275,                 4.1793,                0.00207,                    0.5,                0.01704,                0.00685,                 3.4182,                 3.7706,                 4.1511,                 0.0991,                 0.0001,                 0.0001
                      1,                 3.0779,                 3.7323,                 4.1789,                0.00205,                    0.5,                0.01789,                0.00644,                 3.4075,                 3.7745,                  4.145,               0.097297,             0.00029703,             0.00029703
                      2,                 3.4466,                 3.7494,                 4.1532,                0.00203,                    0.5,                0.01445,                0.00568,                 3.3894,                 3.7734,                 4.1358,                0.09549,              0.0004901,              0.0004901
                      3,                 3.4394,                 3.7306,                 4.1422,                0.00203,                    0.5,                0.01501,                0.00598,                 3.3727,                 3.7766,                 4.1273,               0.093679,             0.00067921,             0.00067921
                      4,                 3.3089,                 3.7316,                  4.184,                0.00205,                    0.5,                0.01664,                0.00637,                 3.3521,                 3.7762,                 4.1173,               0.091864,             0.00086436,             0.00086436
                      5,                 3.3184,                 3.7058,                 4.1405,                0.00203,                    0.5,                0.01576,                0.00677,                 3.3236,                 3.7696,                  4.103,               0.090046,              0.0010455,              0.0010455
                      6,                 3.1476,                 3.5384,                  4.127,                0.00202,                    0.5,                0.02005,                 0.0076,                 3.2983,                 3.7662,                 4.0904,               0.088223,              0.0012228,              0.0012228
                      7,                 3.5523,                 3.6305,                 4.1168,                0.00205,                    0.5,                0.02115,                0.00794,                 3.2717,                 3.7603,                 4.0774,               0.086396,               0.001396,               0.001396
                      8,                 3.2685,                    3.6,                 4.1145,                0.00204,                    0.5,                0.02009,                0.00708,                 3.2594,                 3.7584,                 4.0713,               0.084565,              0.0015654,              0.0015654
                      9,                 3.2345,                 3.5222,                 4.0987,                0.00203,                    0.5,                0.01998,                0.00713,                 3.2468,                 3.7624,                 4.0654,               0.082731,              0.0017307,              0.0017307
                     10,                 3.0811,                 3.5318,                  4.087,                0.00202,                    0.5,                0.02172,                0.00724,                 3.2336,                 3.7638,                 4.0592,               0.080892,              0.0018921,              0.0018921
                     11,                 3.1992,                 3.5998,                 4.1018,                0.00202,                    0.5,                0.01956,                0.00691,                 3.2229,                 3.7703,                 4.0539,                0.07905,              0.0020495,              0.0020495
                     12,                  3.256,                 3.6045,                 4.0827,                0.00192,                    0.5,                0.02021,                0.00725,                 3.2126,                 3.7742,                  4.049,               0.077203,               0.002203,               0.002203
                     13,                 3.4213,                 3.5978,                 4.0812,                0.00196,                    0.5,                0.02742,                 0.0092,                 3.2002,                 3.7766,                 4.0435,               0.075353,              0.0023525,              0.0023525
                     14,                   3.26,                 3.4519,                 4.0531,                0.00195,                    0.5,                0.02801,                0.00947,                 3.1874,                 3.7818,                  4.038,               0.073498,              0.0024981,              0.0024981
                     15,                 3.0362,                 3.5008,                 4.0659,                0.00194,                    0.5,                0.02935,                 0.0102,                 3.1742,                 3.7831,                 4.0319,                0.07164,              0.0026396,              0.0026396
                     16,                 2.9456,                 3.4787,                 4.0447,                0.00194,                    0.5,                0.03002,                 0.0095,                 3.1599,                 3.7793,                 4.0254,               0.069777,              0.0027773,              0.0027773
                     17,                 3.3002,                 3.5127,                 4.0559,                0.00195,                    0.5,                0.02943,                 0.0092,                 3.1481,                 3.7828,                   4.02,               0.067911,              0.0029109,              0.0029109
                     18,                 3.0343,                 3.3853,                 4.0366,                0.00196,                    0.5,                0.03013,                0.00941,                 3.1371,                 3.7911,                 4.0153,               0.066041,              0.0030407,              0.0030407
                     19,                 3.3144,                 3.5269,                 4.0609,                0.00194,                    0.5,                0.03013,                0.00931,                 3.1265,                 3.7965,                 4.0106,               0.064166,              0.0031664,              0.0031664
                     20,                 3.0918,                 3.4191,                 4.0121,                0.00194,                    0.5,                0.03236,                0.00942,                 3.1147,                 3.8015,                 4.0056,               0.062288,              0.0032882,              0.0032882
                     21,                  3.138,                 3.4041,                  4.026,                0.00195,                    0.5,                0.03295,                0.01026,                 3.1011,                 3.8061,                 3.9997,               0.060406,               0.003406,               0.003406
                     22,                 3.0424,                 3.4235,                 4.0273,                0.00194,                    0.5,                0.03299,                0.01004,                 3.0902,                  3.817,                  3.995,                0.05852,              0.0035199,              0.0035199
                     23,                 3.0591,                 3.3489,                  4.007,                0.00193,                    0.5,                0.03299,                0.01028,                 3.0781,                  3.822,                   3.99,                0.05663,              0.0036298,              0.0036298
                     24,                  3.016,                 3.5386,                 4.0347,                0.00192,                    0.5,                0.03593,                0.01128,                  3.062,                 3.8207,                 3.9836,               0.054736,              0.0037358,              0.0037358
                     25,                 3.3494,                 3.3746,                 3.9984,                0.00191,                    0.5,                0.03422,                0.01168,                 3.0471,                 3.8225,                 3.9778,               0.052838,              0.0038378,              0.0038378
                     26,                 3.4498,                 3.5142,                 4.0445,                 0.0019,                    0.5,                 0.0353,                0.01241,                 3.0292,                 3.8183,                  3.971,               0.050936,              0.0039358,              0.0039358
                     27,                 2.9383,                 3.3265,                 3.9666,                 0.0019,                    0.5,                 0.0353,                0.01241,                 3.0292,                 3.8183,                  3.971,                0.04903,              0.0040299,              0.0040299
                     28,                 2.9998,                  3.347,                 3.9579,                0.00188,                    0.5,                0.03836,                  0.013,                 3.0102,                 3.8164,                 3.9638,                0.04712,                0.00412,                0.00412
                     29,                 3.3774,                 3.5552,                 4.0352,                0.00187,                    0.5,                0.04067,                0.01462,                 2.9902,                 3.8054,                 3.9562,               0.045206,              0.0042061,              0.0042061
                     30,                 2.9799,                 3.4107,                 3.9431,                0.00187,                    0.5,                0.04067,                0.01462,                 2.9902,                 3.8054,                 3.9562,               0.043288,              0.0042883,              0.0042883
                     31,                 3.1638,                 3.3806,                 3.9735,                0.00188,                    0.5,                0.05162,                0.01572,                 2.9672,                 3.7952,                 3.9482,               0.041367,              0.0043665,              0.0043665
                     32,                 2.9571,                 3.2912,                 3.9273,                0.00189,                    0.5,                0.05294,                 0.0171,                  2.939,                 3.7835,                 3.9377,               0.039441,              0.0044408,              0.0044408
                     33,                  2.998,                 3.2437,                 3.8967,                0.00189,                    0.5,                0.05294,                 0.0171,                  2.939,                 3.7835,                 3.9377,               0.037511,              0.0045111,              0.0045111
                     34,                 3.1439,                 3.3697,                 4.0065,                0.00187,                    0.5,                0.06908,                0.02104,                 2.9106,                 3.7744,                 3.9274,               0.035577,              0.0045775,              0.0045775
                     35,                 2.8552,                 3.3256,                 3.9074,                0.00186,                    0.5,                0.22249,                0.04474,                 2.8801,                 3.7599,                 3.9165,                0.03364,              0.0046399,              0.0046399
                     36,                 3.1862,                  3.376,                 3.9592,                0.00186,                    0.5,                0.22249,                0.04474,                 2.8801,                 3.7599,                 3.9165,               0.031698,              0.0046983,              0.0046983
                     37,                 3.2067,                 3.3609,                 3.9863,                0.00185,                    0.5,                0.22825,                0.04765,                  2.855,                 3.7487,                 3.9077,               0.029753,              0.0047528,              0.0047528
